date;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2018-01-21;3 567,78;3 490,30;3 418,44;3 384,94;3 385,46;3 414,69;3 477,93;3 478,49;3 525,92;3 682,33;3 782,83;3 822,67;3 828,84;3 827,26;3 830,74;3 819,45;3 864,70;3 984,84;3 994,10;3 981,42;3 940,15;3 877,95;3 733,68;3 553,19
2018-01-22;3 523,09;3 456,98;3 383,66;3 381,49;3 400,19;3 471,86;3 519,90;3 839,55;3 911,52;3 984,12;4 000,11;3 987,46;3 976,69;3 983,76;3 981,08;3 943,54;3 942,98;4 049,87;4 030,99;4 006,65;3 938,61;3 899,60;3 721,65;3 523,88
2018-01-23;3 504,34;3 408,77;3 382,64;3 379,49;3 391,27;3 478,23;3 528,70;3 799,49;3 904,74;3 936,89;4 013,80;3 982,01;3 955,67;3 980,02;3 955,05;3 946,14;3 953,06;4 020,48;4 031,95;4 039,88;3 921,64;3 890,67;3 658,61;3 532,51
2018-01-24;3 453,16;3 406,24;3 385,24;3 382,59;3 398,06;3 432,09;3 509,02;3 830,65;3 928,80;3 985,27;4 068,09;4 016,77;3 988,36;3 989,88;3 978,35;3 958,90;3 934,73;4 009,77;4 011,36;3 999,95;3 898,96;3 871,63;3 625,22;3 486,47
2018-01-25;3 405,86;3 328,22;3 238,09;3 229,96;3 278,21;3 406,32;3 482,88;3 723,14;3 851,15;3 872,77;3 919,30;3 899,70;3 884,98;3 881,08;3 876,30;3 867,99;3 867,80;3 918,30;3 935,47;3 929,73;3 839,03;3 770,08;3 562,88;3 437,28
2018-01-26;3 424,47;3 337,44;3 280,98;3 274,63;3 335,41;3 421,34;3 502,19;3 779,79;3 867,83;3 919,98;3 970,65;3 950,09;3 894,85;3 920,79;3 912,59;3 881,79;3 892,67;3 958,37;3 970,19;3 925,19;3 860,51;3 839,65;3 581,17;3 507,20
2018-01-27;3 491,47;3 409,33;3 387,04;3 380,23;3 383,81;3 406,44;3 414,88;3 451,90;3 582,10;3 759,14;3 845,61;3 856,22;3 847,56;3 827,57;3 818,24;3 756,33;3 831,30;3 937,80;3 944,22;3 923,35;3 875,52;3 755,12;3 520,07;3 422,20
2018-01-28;3 410,97;3 335,57;3 286,12;3 277,10;3 274,94;3 308,42;3 308,70;3 357,74;3 426,87;3 525,97;3 622,52;3 643,37;3 645,62;3 647,00;3 653,34;3 645,72;3 703,58;3 894,22;3 913,96;3 864,25;3 830,94;3 672,73;3 496,66;3 436,65
2018-01-29;3 340,30;3 187,19;3 149,94;3 145,30;3 265,17;3 370,09;3 441,20;3 824,81;3 946,11;4 014,86;4 077,23;4 074,55;4 027,27;4 047,67;4 036,15;4 017,81;3 993,01;4 030,62;4 045,49;4 046,31;3 925,90;3 847,29;3 610,43;3 424,27
2018-01-30;3 404,87;3 259,81;3 208,84;3 203,94;3 263,80;3 395,47;3 440,29;3 698,71;3 899,90;3 919,34;3 969,61;3 962,99;3 938,64;3 944,70;3 943,71;3 930,26;3 912,78;3 977,49;3 995,58;4 027,06;3 910,13;3 797,51;3 527,14;3 446,74
2018-01-31;3 417,34;3 353,20;3 283,89;3 279,52;3 342,64;3 383,75;3 479,28;3 638,86;3 875,07;3 913,37;3 966,00;3 958,67;3 944,99;3 950,93;3 943,93;3 918,92;3 906,80;3 969,40;3 970,49;4 004,47;3 878,56;3 756,38;3 518,30;3 445,76
